Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,CLASE,MARCA,LINEA,MODELO,COLOR,Cantidad
18/05/2018,VALLE,CALI (CT),Viernes,8:25:00,ANTONIO NARIÑO E16,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,51,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,TECNICO,76001000,AUTOMOVIL,AUDI,A4,2012,GRIS,1
18/05/2018,VALLE,JAMUNDÍ,Viernes,15:00:00,VIA CALI JAMUNDI E24,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,55,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,76364000,CAMIONETA,CHEVROLET,DMAX,2016,BLANCO,1
18/05/2018,VALLE,TULUÁ,Viernes,20:00:00,Escobar,URBANA,LUGAR DE TRABAJO,ARMA DE FUEGO,A PIE,A PIE,54,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,TECNICO,76834000,CAMIONETA,TOYOTA,FORTUNER,2011,BEIGE,1
19/05/2018,ANTIOQUIA,LA PINTADA,Sábado,17:30:00,EL KILOMETRO,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,CONDUCTOR VEHICULO,59,MASCULINO,CASADO,COLOMBIA,NO REPORTA,-,SECUNDARIA,5390000,AUTOMOVIL,DONG FENG,DFA1051BG01,2012,AZUL,1
19/05/2018,ANTIOQUIA,MEDELLÍN (CT),Sábado,15:30:00,PRADO C-10,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,CONDUCTOR VEHICULO,35,MASCULINO,UNION LIBRE,COLOMBIA,NO REPORTA,-,SECUNDARIA,5001000,AUTOMOVIL,CHEVROLET,CORSA WIND,2004,ROJO,1
19/05/2018,ANTIOQUIA,MEDELLÍN (CT),Sábado,20:50:00,LAURELES C-11,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,31,MASCULINO,SOLTERO,COLOMBIA,NO REPORTA,-,SUPERIOR,5001000,AUTOMOVIL,RENAULT,TWINGO AUTHENTIQUE,2010,GRIS,1
19/05/2018,ANTIOQUIA,MEDELLÍN (CT),Sábado,22:10:00,SAN JOAQUIN C-11,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,LLAVE MAESTRA,A PIE,A PIE,59,MASCULINO,CASADO,COLOMBIA,NO REPORTA,-,SECUNDARIA,5001000,AUTOMOVIL,TOYOTA,LAND CRUISER FJ 80 L,1991,VERDE,1
19/05/2018,ATLÁNTICO,BARRANQUILLA (CT),Sábado,7:00:00,LAS DELICIAS,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,56,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,-,SUPERIOR,8001000,AUTOMOVIL,CHEVROLET,-,2011,GRIS,1
19/05/2018,CAUCA,EL TAMBO,Sábado,23:00:00,VEREDA LA LAJA,RURAL,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,52,MASCULINO,UNION LIBRE,COLOMBIA,COMERCIANTE,-,PRIMARIA,19256000,CAMIONETA,TOYOTA,LAND CRUISER,1993,GRIS PLATINO,1
19/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,20:00:00,TINTALA E-8,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,63,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,11001000,AUTOMOVIL,CHEVROLET,SPRINT,1998,AZUL,1
