"","Fecha","Departamento","Municipio","Día","Hora","Barrio","Zona","Clase.de.sitio","Arma.empleada","Móvil.Agresor","Móvil.Victima","Edad","Sexo","Estado.civil","País.de.nacimiento","Clase.de.empleado","Profesión","Escolaridad","CLASE","MARCA","LINEA","MODELO","COLOR","Mes","Dia.Mes","Hora.dia"
"7264",2018-09-26,"META","VILLAVICENCIO (CT)","Miércoles","9:17:00","KIRPA","URBANA","PARQUEADERO","SIN EMPLEO DE ARMAS","A PIE","A PIE",39,"FEMENINO","UNION LIBRE","COLOMBIA","INDEPENDIENTE","DESCONOCIDO","SUPERIOR","AUTOMOVIL","RENAULT","LINEA STANDARD",2010,"NEGRO GRAFITO",9,26,9
"7265",2018-09-26,"META","VILLAVICENCIO (CT)","Miércoles","9:17:00","KIRPA","URBANA","PARQUEADERO","SIN EMPLEO DE ARMAS","A PIE","A PIE",39,"FEMENINO","UNION LIBRE","COLOMBIA","INDEPENDIENTE","DESCONOCIDO","SUPERIOR","AUTOMOVIL","CHERY","LINEA STANDARD",2010,"NEGRO Y BLANCO",9,26,9
"7266",2018-09-26,"NORTE DE SANTANDER","ABREGO","Miércoles","17:30:00","CORREGIMIENTO EL TARRITA","RURAL","CARRETERA","ARMA DE FUEGO","A PIE","A PIE",35,"MASCULINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","NO REPORTADA","NO REPORTADO","CAMIONETA","BMW","X3 xDrive28i",2012,"BLANCO",9,26,17
"7267",2018-09-26,"SANTANDER","BARRANCABERMEJA","Miércoles","5:00:00","VDA. CAMPO 23","RURAL","TRAMO DE VIA","ARMA DE FUEGO","A PIE","CONDUCTOR VEHICULO",31,"MASCULINO","DESCONOCIDO","DESCONOCIDO","NO REPORTA","DESCONOCIDO","DESCONOCIDA","CAMION","KENWORTH","T800",2008,"AMARILLO",9,26,5
"7268",2018-09-26,"VALLE","CALI (CT)","Miércoles","21:30:00","EL SENA E5","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","A PIE",37,"FEMENINO","CASADO","COLOMBIA","EMPLEADO PARTICULAR","NO REPORTADA","SUPERIOR","CAMIONETA","MAZDA","CX-5",2019,"BLANCO",9,26,21
"7269",2018-09-26,"VALLE","CALI (CT)","Miércoles","11:00:00","SANTA FE E8","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","A PIE",51,"MASCULINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","NO REPORTADA","SECUNDARIA","AUTOMOVIL","CHEVROLET","SPRINT",1996,"VERDE",9,26,11
"7270",2018-09-26,"VALLE","CALI (CT)","Miércoles","20:30:00","AGUABLANCA E11","URBANA","VIAS PUBLICAS","ARMA DE FUEGO","A PIE","A PIE",36,"FEMENINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","NO REPORTADA","SUPERIOR","AUTOMOVIL","SUZUKI","SWIFT 1.2 AT",2016,"BLANCO",9,26,20
"7271",2018-09-26,"VALLE","CALI (CT)","Miércoles","18:26:00","EL INGENIO E17","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","A PIE",38,"FEMENINO","SOLTERO","COLOMBIA","INDEPENDIENTE","NO REPORTADA","SECUNDARIA","CAMIONETA","TOYOTA","PRADO",2018,"BLANCO",9,26,18
"7274",2018-09-27,"ANTIOQUIA","COPACABANA","Jueves","13:00:00","LA PRADERA","URBANA","PARQUEADERO","ARMA DE FUEGO","PASAJERO MOTOCICLETA","CONDUCTOR VEHICULO",27,"FEMENINO","SOLTERO","COLOMBIA","INDEPENDIENTE","DESCONOCIDO","SUPERIOR","AUTOMOVIL","MAZDA","3",2012,"BLANCO",9,27,13
"7275",2018-09-27,"ANTIOQUIA","MEDELLÍN (CT)","Jueves","15:00:00","PERPETUO SOCORRO C-10","URBANA","TALLERES","SIN EMPLEO DE ARMAS","A PIE","A PIE",60,"MASCULINO","CASADO","COLOMBIA","EMPLEADO PARTICULAR","NO REPORTADA","PRIMARIA","AUTOMOVIL","HYUNDAI","GRAND I10",2016,"PLATEADO",9,27,15
